"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","try { . ""c:\Users\DELL\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\browser\media\shellIntegration.ps1"" } catch {}","Completed","8/21/2024 10:33:03 PM","8/21/2024 10:33:03 PM"
"2","cd alphacrew","Completed","8/21/2024 11:46:06 PM","8/21/2024 11:46:06 PM"
"3","cd backend","Completed","8/21/2024 11:47:11 PM","8/21/2024 11:47:11 PM"
"4","npm install express mysql2","Stopped","8/21/2024 11:54:15 PM","8/21/2024 11:55:20 PM"
"5","npm install express mysql2","Completed","8/21/2024 11:55:43 PM","8/21/2024 11:55:50 PM"
"6","node databaseIndex.js","Completed","8/21/2024 11:58:17 PM","8/21/2024 11:58:17 PM"
"7","npm run dev","Stopped","8/21/2024 11:58:54 PM","8/21/2024 11:59:49 PM"
"8","npm run dev","Stopped","8/22/2024 12:05:38 AM","8/22/2024 12:06:14 AM"
"9","node databaseIndex.js","Completed","8/22/2024 12:06:23 AM","8/22/2024 12:06:23 AM"
"10","npm run dev","Stopped","8/22/2024 12:10:47 AM","8/22/2024 12:12:13 AM"
"11","npm run dev","Stopped","8/22/2024 12:12:16 AM","8/22/2024 1:57:30 AM"
"12","npm run dev","Stopped","8/22/2024 1:57:39 AM","8/22/2024 2:14:03 AM"
"13","npm run dev","Stopped","8/22/2024 2:14:12 AM","8/22/2024 2:25:09 AM"
"14","npm run dev","Stopped","8/22/2024 2:25:17 AM","8/22/2024 5:05:50 AM"
"15","git status","Completed","8/22/2024 5:50:12 AM","8/22/2024 5:50:13 AM"
"16","git add .","Completed","8/22/2024 5:50:26 AM","8/22/2024 5:50:27 AM"
"17","git pull","Completed","8/22/2024 5:50:54 AM","8/22/2024 5:50:57 AM"
"18","git status","Completed","8/22/2024 5:51:10 AM","8/22/2024 5:51:10 AM"
"19","git add .","Completed","8/22/2024 5:51:23 AM","8/22/2024 5:51:23 AM"
"20","git status","Completed","8/22/2024 5:51:30 AM","8/22/2024 5:51:30 AM"
"21","git add ../history.csv","Completed","8/22/2024 5:52:57 AM","8/22/2024 5:52:57 AM"
"22","git add ../index.html","Completed","8/22/2024 5:53:08 AM","8/22/2024 5:53:08 AM"
"23","git status","Completed","8/22/2024 5:53:11 AM","8/22/2024 5:53:11 AM"
"24","git commit -m ""back-end changes ""","Completed","8/22/2024 5:56:57 AM","8/22/2024 5:56:58 AM"
"25","git push","Completed","8/22/2024 5:57:22 AM","8/22/2024 5:57:22 AM"
"26","git push origin HEAD:main","Completed","8/22/2024 5:58:12 AM","8/22/2024 5:58:12 AM"
"27","git push origin HEAD:main","Completed","8/22/2024 5:59:10 AM","8/22/2024 5:59:15 AM"
"28","Get-History | Export-Csv -Path history.csv -NoTypeInformation","Completed","8/22/2024 7:01:45 AM","8/22/2024 7:01:45 AM"
